expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
さて,さて,"well; now (typically used when switching to a new, usually more important topic)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,LIh4>dp+/=,"เอาล่ะ ตอนนี้ (โดยทั่วไปใช้เมื่อเปลี่ยนไปพูดถึงหัวข้อใหม่ ซึ่งมักจะสำคัญกว่า), ทีนี้, อนึ่ง, ณ ตอนนี้",さて、始めましょう。,เอาล่ะ มาเริ่มกันเลยครับ/ค่ะ
砂漠,さばく,desert,JLPT JLPT_2 JLPT_3,kKUmiT9F9W,"ทะเลทราย, ถิ่นทุรกันดาร, ที่รกร้าง, ดินแดนแห้งแล้ง",砂漠は暑いです。,ทะเลทรายร้อนครับ/ค่ะ
差別,さべつ,"discrimination, differentiation",JLPT JLPT_2 JLPT_3,dyD!/ON4A8,"การเลือกปฏิบัติ การแยกแยะ, การแบ่งแยก, ความลำเอียง, การแบ่งชนชั้น",差別しないでください。,กรุณาอย่าเลือกปฏิบัตินะครับ/คะ
ママ,ママ,Mama,JLPT JLPT_2 JLPT_3,zyZFReMUU6,"แม่, คุณแม่, มาม้า, มารดา",ママ、大好き！,แม่คะ หนูรักแม่ค่ะ!
豆,まめ,"beans, peas",JLPT JLPT_2 JLPT_3,GoM5kwLZ`E,"ถั่ว, ถั่วลันเตา, เมล็ดถั่ว, พืชตระกูลถั่ว",豆を食べます。,ฉันจะกินถั่วครับ/ค่ะ
守る,まもる,to protect; to abide (by the rules),JLPT JLPT_2 JLPT_3,KIn|zt16*V,"เพื่อปกป้อง; เพื่อปฏิบัติตาม (กฎระเบียบ), รักษา, คุ้มครอง, ป้องกัน",約束を守ります。,ฉันจะรักษาสัญญาครับ/ค่ะ
迷う,まよう,"to be puzzled, to be perplexed, to lose one's way",JLPT JLPT_2 JLPT_3,L;:4YYq`)5,"รู้สึกงุนงง สับสน หลงทาง, งง, มึนงง, หลง",道に迷いました。,ฉันหลงทางครับ/ค่ะ
丸,まる,"circle, full (month)",JLPT JLPT_2 JLPT_3,Q)LW*l-M`[,"วงกลม, เต็ม (เดือน), กลม, ครบถ้วน",丸いテーブルです。,เป็นโต๊ะกลมครับ/ค่ะ
円,まる,circle,JLPT JLPT_2 JLPT_3,c11Q@w}#J~,"วงกลม, วง, กลม, ทรงกลม",,
まるで,まるで,just like,JLPT JLPT_2 JLPT_3,nQ6e%/X<.r,"เหมือนกับ, ราวกับ, คล้ายกับ, ดุจ",まるで夢のようです。,ราวกับเป็นความฝันเลยครับ/ค่ะ
万一,まんいち,"by some chance, if by any chance",JLPT JLPT_2 JLPT_3,H0H9j9*ddg,"โดยบังเอิญ หากมีโอกาสใด ๆ, สมมติว่า, เผื่อว่า, ถ้าเกิด",万一の場合、連絡してください。,หากเกิดเหตุการณ์ไม่คาดฝัน กรุณาติดต่อผม/ดิฉันครับ/ค่ะ
満足,まんぞく,satisfaction,JLPT JLPT_2 JLPT_3,Qfyuj9^wer,"ความพึงพอใจ, ความพอใจ, การบรรลุผล, อิ่มเอม",満足しました。,ฉันพอใจครับ/ค่ะ
身,み,"body, main part",JLPT JLPT_2 JLPT_3,FD}%mUxg1n,"ตัวถัง, ส่วนหลัก, ร่างกาย, เนื้อตัว",身を守ります。,ฉันจะปกป้องตัวเองครับ/ค่ะ
実,み,"fruit, seed, good result",JLPT JLPT_2 JLPT_3,j`zE[mIWkt,"ผลไม้ เมล็ดพืช ผลลัพธ์ที่ดี, ผล, เมล็ด, ประโยชน์",果実がおいしいです。,ผลไม้มีรสชาดอร่อยครับ/ค่ะ
見送り,みおくり,seeing one off,JLPT JLPT_2 JLPT_3,"zL,W$(?WXy","ไล่คนคนหนึ่งออกไป, การไปส่ง, การอำลา, การส่ง",友達を見送ります。,ฉันไปส่งเพื่อนครับ/ค่ะ
味方,みかた,"ally, supporter",JLPT JLPT_2 JLPT_3,EF85/VL>m_,"พันธมิตร ผู้สนับสนุน, พวกเดียวกัน, ฝ่ายเรา, เพื่อนร่วมทาง",彼は私の味方です。,เขาเป็นพวกเดียวกับผม/ดิฉันครับ/ค่ะ
見事,みごと,"splendid, magnificent",JLPT JLPT_2 JLPT_3,FG5RYvwId;,"งดงาม ตระการตา, ยอดเยี่ยม, เลิศหรู, อลังการ",見事な景色です。,เป็นทิวทัศน์ที่งดงามมากครับ/ค่ะ
ミス,ミス,"miss (mistake, error, failure), Miss",JLPT_1 JLPT JLPT_2 JLPT_3,h#^4pNfLXB,"พลาด (ความผิดพลาด, ข้อผิดพลาด, ความล้มเหลว), มิส",ミスをしました。,ฉันทำพลาดไปครับ/ค่ะ
満ちる,みちる,"to be full, to mature",JLPT JLPT_2 JLPT_3,u[~LhQX)13,"เต็มที่, โตเต็มที่, สมบูรณ์, บริบูรณ์",海が満ちています。,ทะเลเต็มแล้วครับ/ค่ะ
密,みつ,"thick, close",JLPT JLPT_2 JLPT_3,Q7s<b_//qW,"หนา, แน่น, ชิด, ใกล้ชิด",密な関係です。,เป็นความสัมพันธ์ที่ใกล้ชิดครับ/ค่ะ
認める,みとめる,"to recognize, to notice; to approve",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13 Intermediate_Japanese_Ln.3,"JetA%b8l~,","รับรู้, สังเกตเห็น; อนุมัติ, ยอมรับ, เห็นชอบ",彼の意見を認めます。,ฉันยอมรับความคิดเห็นของเขาครับ/ค่ะ
見舞い,みまい,"expression of sympathy, expression of concern",JLPT JLPT_2 JLPT_3,nw{(:&zpou,"การแสดงความเห็นอกเห็นใจ การแสดงความห่วงใย, การเยี่ยมเยียน, การเยี่ยมไข้, การปลอบใจ",お見舞いにいきます。,ฉันจะไปเยี่ยมครับ/ค่ะ
土産,みやげ,souvenir,JLPT JLPT_2 JLPT_3,z~]qvc)tb[,"ของที่ระลึก, ของฝาก, ของขวัญ, เครื่องที่ระลึก",お土産を買いました。,ฉันซื้อของฝากครับ/ค่ะ
都,みやこ,city; capital,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,B3uIy2Ddpn,"เมือง; เมืองหลวง, นคร, ราชธานี, มหานคร",都へ行きます。,ฉันจะไปเมืองหลวงครับ/ค่ะ
妙,みょう,"strange, unusual",JLPT JLPT_2 JLPT_3,LNAQ6Xt7x$,"แปลก ประหลาด, พิลึก, อัศจรรย์, ผิดปกติ",妙な音がします。,มีเสียงแปลกๆ ครับ/ค่ะ
明後日,みょうごにち,day after tomorrow,JLPT JLPT_2 JLPT_3,vq>.q}^O]P,"วันมะรืนนี้, พรุ่งนี้มะรืนนี้, สองวันข้างหน้า, วันถัดจากพรุ่งนี้",明後日、会いましょう。,เรามาเจอกันวันมะรืนนี้นะครับ/คะ
未来,みらい,future (life tense),JLPT JLPT_2 JLPT_3,Ghk@nVs)kS,"อนาคต (กาลปัจจุบัน), วันข้างหน้า, ภายหน้า, เบื้องหน้า",未来は明るいです。,อนาคตสดใสครับ/ค่ะ
魅力,みりょく,"charm, fascination, appeal",JLPT JLPT_2 JLPT_3,w{[H?`kNh],"เสน่ห์, ความน่าหลงใหล, ความดึงดูดใจ, แรงดึงดูด",彼女の魅力に惹かれました。,ผม/ดิฉันถูกดึงดูดด้วยเสน่ห์ของเธอครับ/ค่ะ
診る,みる,to examine (a patient),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,Ap.|xWc<xg,"เพื่อตรวจ (ผู้ป่วย), ตรวจโรค, วินิจฉัย, ตรวจสอบ",医者が患者を診ます。,หมอตรวจคนไข้ครับ/ค่ะ
ミルク,ミルク,milk,JLPT JLPT_2 JLPT_3,rW2yU+[.3;,"น้ำนม, นม, นมวัว, นมสด",ミルクを飲みます。,ฉันจะดื่มนมครับ/ค่ะ
無,む,"nothing, naught, zero",JLPT JLPT_2 JLPT_3,M/]]Gfu|C<,"ไม่มีอะไรเลย ศูนย์, ไม่มี, ความว่างเปล่า, ค่าว่าง",無駄遣いをしません。,ฉันจะไม่ใช้เงินฟุ่มเฟือยครับ/ค่ะ
向かい,むかい,"facing, opposite, across",JLPT JLPT_2 JLPT_3,v-M][z30<G,"หันหน้าเข้าหากัน ตรงข้ามกัน ข้ามไป, ฝั่งตรงข้าม, ปะทะ, ประจันหน้า",駅の向かいです。,อยู่ฝั่งตรงข้ามสถานีครับ/ค่ะ
迎え,むかえ,"meeting, person sent to pick up an arrival",JLPT JLPT_2 JLPT_3,M.JFq}D{XW,"การประชุม, บุคคลที่ถูกส่งไปรับผู้มาถึง, การต้อนรับ, การรับ",迎えに来ました。,ฉันมารับครับ/ค่ะ
向く,むく,to face,JLPT JLPT_2 JLPT_3,"B?VOe(a,ck","เพื่อเผชิญหน้า, หันหน้า, หัน, ตรงหน้า",窓に向いて座ります。,ฉันนั่งหันหน้าออกทางหน้าต่างครับ/ค่ะ
剥く,むく,"to peel, to skin",JLPT JLPT_2 JLPT_3,O9G!=VsU$R,"ลอก, ปอกเปลือก, ถลก, แกะ",みかんの皮を剥きます。,ฉันปอกเปลือกส้มครับ/ค่ะ
向ける,むける,"to turn towards, to point",JLPT JLPT_2 JLPT_3,O0#L}~28:p,"หันไปทาง, ชี้ไปทางนั้น, เล็ง, มุ่ง",顔を太陽に向けます。,ฉันหันหน้าไปทางดวงอาทิตย์ครับ/ค่ะ
無視,むし,"disregard, ignore",JLPT JLPT_2 JLPT_3,"H?.,UKB|]n","ไม่สนใจ เพิกเฉย, มองข้าม, ละเลย, ไม่ใส่ใจ",彼の言葉を無視しました。,ฉันไม่สนใจคำพูดของเขาครับ/ค่ะ
蒸し暑い,むしあつい,"humid, sultry",JLPT JLPT_2 JLPT_3,b:SYmm(y*W,"ชื้น อบอ้าว, ร้อนชื้น, เปียกชื้น, เหงื่อออก",今日は蒸し暑いです。,วันนี้อากาศร้อนชื้นครับ/ค่ะ
虫歯,むしば,"cavity, tooth decay",JLPT JLPT_2 JLPT_3,p^*~90tI~;,"ฟันผุ, โรคฟัน, ฟันเสีย",虫歯が痛みます。,ฟันผุของฉันปวดครับ/ค่ะ
寧ろ,むしろ,"rather, better, instead",JLPT JLPT_2 JLPT_3,iKd&nF*kp>,"จะดีกว่าด้วยซ้ำ, ยิ่งกว่า, ตรงกันข้าม, แต่กลับ",寧ろ、静かな方がいいです。,กลับจะดีกว่าถ้าเงียบครับ/ค่ะ
蒸す,むす,"to steam, to poultice, to be sultry",JLPT JLPT_2 JLPT_3,A8e|Klqr_`,"อบไอน้ำ, ประคบ, ร้อนอบอ้าว, นึ่ง",野菜を蒸します。,ฉันจะนึ่งผักครับ/ค่ะ
結ぶ,むすぶ,"to tie, to bind, to link",JLPT JLPT_2 JLPT_3,ymg7!.{d0`,"ผูก, มัด, เชื่อมต่อ, โยง",靴ひもを結びます。,ฉันผูกเชือกรองเท้าครับ/ค่ะ
無駄,むだ,"futility, uselessness",JLPT JLPT_2 JLPT_3,f?04M}_6S/,"ความไร้ประโยชน์, ไร้ค่า, เปล่าประโยชน์, สูญเปล่า",無駄なことはしません。,ฉันจะไม่ทำสิ่งที่ไร้ประโยชน์ครับ/ค่ะ
夢中,むちゅう,"crush, crazy, be hooked on",JLPT JLPT_2 JLPT_3,c*kD_bu37.,"หลงรัก, คลั่งไคล้, ติดใจ, หมกมุ่น",ゲームに夢中です。,ฉันหมกมุ่นอยู่กับเกมครับ/ค่ะ
胸,むね,"breast, chest",JLPT JLPT_2 JLPT_3,yLcSyJ#.nc,"หน้าอก, ทรวงอก, อก, เต้านม",胸がドキドキします。,หัวใจเต้นแรง
無料,むりょう,"free, no charge",JLPT JLPT_2 JLPT_3,JN6`<L^h|2,"ฟรี ไม่มีค่าใช้จ่าย, ไม่เสียเงิน, ปลอดค่าใช้จ่าย, ให้เปล่า",この本は無料です。,หนังสือเล่มนี้ฟรี
芽,め,sprout,JLPT JLPT_2 JLPT_3,"j,J}0*}#hN","งอก, แตกหน่อ, หน่อ, ต้นอ่อน",植物の芽が出ました。,ต้นไม้งอกออกมาแล้ว
明確,めいかく,"clear, definite",JLPT JLPT_2 JLPT_3,DCM(3>-lRK,"ชัดเจน แน่นอน, กระจ่าง, ชัด, แจ่มแจ้ง",目的が明確になりました。,วัตถุประสงค์ชัดเจนขึ้นแล้ว
名刺,めいし,(name) card; business card,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,K3cZp`gUUo,"นามบัตร; นามบัตรธุรกิจ, บัตรแนะนำตัว, บัตรประจำตัว, บัตรเชิญ",名刺を交換しましょう。,แลกนามบัตรกันครับ/ค่ะ
名詞,めいし,noun,JLPT JLPT_2 JLPT_3,iPorDGRE(|,"คำนาม, นาม, นามคำ, คำเรียกชื่อ",「犬」は名詞です。,คำว่า 'สุนัข' เป็นคำนาม
命じる,めいじる,"to order, to command, to appoint",JLPT JLPT_2 JLPT_3,qg|.+Szu_I,"สั่งการ บัญชาการ แต่งตั้ง, สั่ง, บัญชา, มีคำสั่ง",先生が生徒に宿題を命じました。,ครูสั่งการบ้านให้นักเรียน
名人,めいじん,"master, expert",JLPT JLPT_2 JLPT_3,Fni-n$8WrW,"อาจารย์, ผู้เชี่ยวชาญ, ปรมาจารย์, ช่างฝีมือ",彼は料理の名人です。,เขาเป็นผู้เชี่ยวชาญด้านการทำอาหาร
命令,めいれい,"order, command, decree",JLPT JLPT_2 JLPT_3,KKSB-pS%yq,"คำสั่ง, คำบัญชา, พระราชกฤษฎีกา, บัญชาการ",父は私に命令します。,พ่อออกคำสั่งกับฉัน
迷惑,めいわく,"trouble, bother, annoyance",JLPT JLPT_2 JLPT_3,"i.t)w,3ng-","ปัญหา ความยุ่งยาก ความรำคาญ, ความเดือดร้อน, ความรบกวน, ความกวนใจ",迷惑をかけてすみません。,ขอโทษที่ทำให้เดือดร้อน
目上,めうえ,person of higher status; one's senior,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,oNjcNV)ff[,"บุคคลที่มีสถานะสูงกว่า; ผู้มีอาวุโสกว่า, ผู้ใหญ่, ผู้บังคับบัญชา, เจ้านาย",目上の方には敬語を使います。,ใช้คำพูดสุภาพกับผู้ที่มีสถานะสูงกว่า
飯,めし,"meals, food",JLPT JLPT_2 JLPT_3,IWA[~#BL^U,"อาหาร, มื้ออาหาร, ข้าว, ของกิน",今日の飯は何ですか。,มื้อวันนี้มีอะไรกินบ้าง
滅多に,めったに,"rarely (with neg. verb), seldom",JLPT JLPT_2 JLPT_3,j)#=ex#L)O,"ไม่ค่อย (ใช้กับกริยาปฏิเสธ), นานๆ ครั้ง, แทบจะไม่, เกือบไม่",この映画は滅多に見ません。,ไม่ค่อยได้ดูหนังเรื่องนี้เลย
メモ,メモ,"memorandum, note",JLPT JLPT_2 JLPT_3,"skJ)D[(,@.","บันทึกช่วยจำ, หมายเหตุ, กระดาษโน้ต, สมุดบันทึก",大事なことをメモします。,จดสิ่งที่สำคัญไว้
面,めん,"face, mug, surface, side or facet, corner, page",JLPT JLPT_2 JLPT_3,"w,_Ik;ZYes","ใบหน้า, แก้ว, พื้นผิว, ด้านข้างหรือด้าน, มุม, หน้ากระดาษ",顔を洗ってください。,กรุณาล้างหน้า
綿,めん,cotton,JLPT JLPT_2 JLPT_3,zi)_)]=$49,"ฝ้าย, ผ้าฝ้าย, เส้นใยฝ้าย, สำลี",綿の服は着心地がいいです。,เสื้อผ้าฝ้ายใส่สบาย
免許,めんきょ,"license, permit, certificate",JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,giqsadF8[_,"ใบอนุญาต, ใบรับรอง, ใบขับขี่, ประกาศนียบัตร",運転免許が必要です。,ต้องมีใบขับขี่
面接,めんせつ,interview,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Genki Genki_Ln.23 Intermediate_Japanese_Ln.3,"G{,..f)t;T","สัมภาษณ์, การสัมภาษณ์, การสอบสัมภาษณ์, พูดคุย",明日は面接があります。,พรุ่งนี้มีการสัมภาษณ์
面倒,めんどう,"trouble, attention",JLPT JLPT_2 JLPT_3,jarwg?`xYM,"ปัญหา ความสนใจ, เรื่องยุ่งยาก, ความลำบาก, อุปสรรค",この仕事は面倒です。,งานนี้ยุ่งยาก
メンバー,メンバー,member,JLPT JLPT_2 JLPT_3,ioP<e}C#*T,"สมาชิก, ผู้ร่วม, พลพรรค, แก๊ง",彼はチームのメンバーです。,เขาเป็นสมาชิกของทีม
申し込む,もうしこむ,"to apply for, to make an application",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,p-@iqxnx(*,"สมัคร, ยื่นใบสมัคร, ขอสมัคร, ลงทะเบียน",パーティーに申し込みました。,สมัครงานปาร์ตี้แล้ว
申し訳,もうしわけ,"apology, excuse",JLPT JLPT_2 JLPT_3,"w0A,13h@XG","คำขอโทษ, ข้อแก้ตัว, ขออภัย, การให้อภัย",遅れて申し訳ありません。,ขอโทษที่มาสาย
毛布,もうふ,blanket,JLPT JLPT_2 JLPT_3,G|6QSL6HzW,"ผ้าห่ม, ผ้าคลุม, ผ้านวม, พรม",毛布をかけます。,คลุมผ้าห่ม
燃える,もえる,to burn,JLPT JLPT_2 JLPT_3,C2}(_d=*8],"เพื่อเผา, เผาไหม้, ลุกไหม้, ติดไฟ",火が燃えています。,ไฟกำลังไหม้
目的,もくてき,"purpose, goal, aim",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,"FrxXy0,/EI","จุดประสงค์ เป้าหมาย จุดมุ่งหมาย, วัตถุประสงค์, เจตนา, ความตั้งใจ",旅行の目的は何ですか。,จุดประสงค์ของการเดินทางคืออะไร
目標,もくひょう,"mark, objective, target",JLPT JLPT_2 JLPT_3,eD#(2kEfi#,"เครื่องหมาย, วัตถุประสงค์, เป้าหมาย, จุดหมาย",目標を達成しました。,บรรลุเป้าหมายแล้ว
文字,もじ,"letter (of alphabet), character",JLPT JLPT_2 JLPT_3,v{bw_z2KT.,"ตัวอักษร (ของอักษร), อักขระ, พยัญชนะ, สัญลักษณ์",この文字は読めません。,อ่านตัวอักษรนี้ไม่ออก
文字,もんじ,"letter (of alphabet), character",JLPT JLPT_2 JLPT_3,i}R1C0Kg[i,"ตัวอักษร (ของอักษร), อักขระ, ตัวเขียน, ตัวหนังสือ",新しい文字を習います。,กำลังเรียนตัวอักษรใหม่
もしかすると,もしかすると,"perhaps, maybe, by some chance",JLPT JLPT_2 JLPT_3,E_gTNRA!W1,"บางที อาจจะโดยบังเอิญ, อาจจะ, ไม่แน่ว่า, เป็นไปได้",もしかすると、雨が降るかもしれません。,บางทีฝนอาจจะตก
もしも,もしも,if,JLPT JLPT_2 JLPT_3,Q41Ox`49(P,"ถ้า, หาก, สมมติว่า, ในกรณีที่",もしも、お金があったら、旅行に行きたいです。,ถ้ามีเงิน อยากไปเที่ยว
持ち上げる,もちあげる,"to raise, to lift up, to flatter",JLPT JLPT_2 JLPT_3,Ck3.ZXZ[6p,"ยกขึ้น, ยกระดับ, ประจบประแจง, ชูขึ้น",重い箱を持ち上げました。,ยกกล่องหนักขึ้น
用いる,もちいる,"to use, to make use of",JLPT JLPT_2 JLPT_3,so5H6d<zN+,"ใช้, เพื่อใช้ประโยชน์, นำมาใช้, ประยุกต์ใช้",この道具を用います。,ใช้เครื่องมือนี้
もったいない,もったいない,"wasteful; more than one deserves, unworthy of",JLPT JLPT_2 JLPT_3,yewBxbz7]I,"สิ้นเปลือง; มากเกินควร ไม่คู่ควร, น่าเสียดาย, เสียของ, ไม่มีค่า",もったいないことをしました。,ทำอะไรที่น่าเสียดาย
尤も,もっとも,"quite right, plausible, natural",JLPT JLPT_2 JLPT_3,A>F:Ft1w22,"ถูกต้อง สมเหตุสมผล เป็นธรรมชาติ, สมควร, สมจริง, เป็นจริง",それはもっともな意見です。,นั่นเป็นความเห็นที่สมเหตุสมผล
元,もと,"origin, original; former",JLPT JLPT_2 JLPT_3,"O)La7,`]AY","ต้นกำเนิด, ดั้งเดิม; เดิม, รากฐาน, แต่แรก",昔の元町を歩きます。,เดินเล่นในเมืองเก่าแก่
基,もと,basis,JLPT JLPT_2 JLPT_3,Icp_M75Xpg,"พื้นฐาน, รากฐาน, หลัก, จุดเริ่มต้น",この建物は丈夫な基盤の上にあります。,อาคารนี้ตั้งอยู่บนฐานรากที่แข็งแรง
素,もと,prime,JLPT JLPT_2 JLPT_3,yGr3{oX4%H,"ไพรม์, หลัก, สำคัญ, ดั้งเดิม",米は日本の素食です。,ข้าวเป็นอาหารหลักของญี่ปุ่น
戻す,もどす,"to restore, to put back, to return",JLPT JLPT_2 JLPT_3,PmY(.gc-w+,"เพื่อฟื้นฟู, เพื่อนำกลับมา, เพื่อส่งคืน, คืน",元の場所に戻してください。,กรุณาคืนสู่ที่เดิม
基づく,もとづく,"to be grounded on, to be based on",JLPT JLPT_2 JLPT_3,I&bTc?WHhL,"เพื่อเป็นพื้นฐาน เพื่อยึดเป็นหลัก, อิงตาม, โดยอาศัย, มีหลักการจาก",法律に基づいた判断。,การตัดสินที่อิงตามกฎหมาย
求める,もとめる,"to request, to ask for; to seek, to search for",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,lJ&@p010:m,"ขอร้อง, วิงวอน; ค้นหา, แสวงหา, ต้องการ",幸せを求めます。,แสวงหาความสุข
者,もの,person (same as 人 (ひと)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,vAI([v0H/E,"คน (เช่นเดียวกับ 人 (ひと)), มนุษย์, บุคคล, ผู้คน",これは良い者です。,นี่เป็นคนดี
物音,ものおと,sounds,JLPT JLPT_2 JLPT_3,hL<`ZEm#E^,"เสียง, สุรเสียง, สัททะ, สำเนียง",物音がしました。,มีเสียงอะไรบางอย่าง
物語,ものがたり,"tale, story, legend",JLPT JLPT_2 JLPT_3,b2F39/cX@{,"นิทาน, เรื่องเล่า, ตำนาน, เรื่องราว",面白い物語を読みました。,ได้อ่านเรื่องราวที่น่าสนใจ
物事,ものごと,"things, everything",JLPT JLPT_2 JLPT_3,JYu;9)KWYP,"สิ่งของ ทุกอย่าง, วัตถุ, ของใช้, ข้าวของ",色々な物事があります。,มีสิ่งต่างๆ มากมาย
燃やす,もやす,to burn,JLPT JLPT_2 JLPT_3,h5FjFnJT{r,"เพื่อเผา, จุดไฟ, ลน, สุมไฟ",ゴミを燃やします。,เผาขยะ
模様,もよう,"pattern, figure, design",JLPT JLPT_2 JLPT_3,DCW6|C<9T),"ลวดลาย, รูปทรง, การออกแบบ, แบบแผน",きれいな模様の布。,ผ้าที่มีลวดลายสวยงาม
文句,もんく,a complaint,JLPT Intermediate_Japanese Genki JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.21 Intermediate_Japanese_Ln.11,"q,87=b37fY","การร้องเรียน, การบ่น, การตำหนิ, ข้อร้องทุกข์",文句を言わないでください。,กรุณาอย่าบ่น
やがて,やがて,"before long, soon, at length",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,nlnms.mL_|,"ในไม่ช้า เร็วๆ นี้ ในที่สุด, ไม่นาน, อีกไม่นาน, ท้ายที่สุด",やがて春になります。,ในไม่ช้าก็จะเป็นฤดูใบไม้ผลิ
役,やく,"role, position",JLPT JLPT_2 JLPT_3,sc=i9?h^tQ,"บทบาท ตำแหน่ง, หน้าที่, ฐานะ, สถานะ",社長の役をします。,ทำหน้าที่ประธานบริษัท
約,やく,"approximately, about, some",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,L31l;C5Xp=,"ประมาณ, เกี่ยวกับ, บางส่วน, ราวๆ",約1時間かかります。,ใช้เวลาประมาณ 1 ชั่วโมง
訳,やく,translation,JLPT JLPT_2 JLPT_3,CmgPQjblgT,"การแปล, การถอดความ, การถ่ายทอด, การตีความ",日本語を英語に訳します。,แปลภาษาญี่ปุ่นเป็นภาษาอังกฤษ
訳す,やくす,to translate,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,Cj2Ni~H!BW,"เพื่อแปล, ถอดความ, ถ่ายทอด, ตีความ",この本を訳してください。,กรุณาแปลหนังสือเล่มนี้
役割,やくわり,"assigning (allotment of) parts, role, duties",JLPT JLPT_2 JLPT_3,"jj*z,nk6$Z","การมอบหมาย (จัดสรร) ส่วนต่างๆ บทบาท หน้าที่, การแบ่งปัน, การปันส่วน, การจัดสรร",大切な役割を果たす。,มีบทบาทสำคัญ
家賃,やちん,rent,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,Og7<v^:R8@,"เช่า, การเช่า, ค่าเช่าบ้าน, ค่าเช่าที่",家賃はいくらですか。,ค่าเช่าเท่าไหร่
厄介,やっかい,"trouble, burden, care",JLPT JLPT_2 JLPT_3,O_#+8qFx*C,"ความลำบาก ภาระ การดูแล, ความยุ่งยาก, ความหนักใจ, การเป็นห่วง",面倒なことになりそうだ。,ดูเหมือนว่าจะเป็นเรื่องยุ่งยาก
宿,やど,"inn, lodging",JLPT JLPT_2 JLPT_3,F8A%9EzpfO,"โรงแรม ที่พัก, ที่พักแรม, โฮสเทล, รีสอร์ต",駅に宿があります。,มีที่พักใกล้สถานีรถไฟ
雇う,やとう,"to employ, to hire",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,fsV)jU5lVf,"จ้างงาน, ว่าจ้าง, รับคน, รับเข้าทำงาน",新しい人を雇います。,จ้างคนใหม่
屋根,やね,roof,JLPT JLPT_2 JLPT_3,K@]5qy=.%v,"หลังคา, หลังคาบ้าน, ฝาหลังคา, มุงหลังคา",屋根の上で猫が寝ています。,แมวนอนอยู่บนหลังคา
破る,やぶる,to tear; to violate; to defeat,JLPT JLPT_2 JLPT_3,Hc|1rO==::,"ฉีก; ละเมิด; เอาชนะ, ทำลาย, แหกกฎ, พิชิต",紙を破らないでください。,กรุณาอย่าฉีกกระดาษ
破れる,やぶれる,"to get torn, to wear out",JLPT JLPT_2 JLPT_3,Q>N&s5^Kb%,"ฉีกขาด, สึกหรอ, ขาดวิ่น, ผุพัง",ズボンが破れました。,กางเกงขาด
辞める,やめる,to retire,JLPT JLPT_2 JLPT_3,J|2c^zFs0y,"เพื่อเกษียณอายุ, ปลดเกษียณ, เลิกทำงาน, วางมือ",来年、会社を辞めます。,จะลาออกจากบริษัทปีหน้า
やや,やや,"a little, partially, somewhat",JLPT JLPT_2 JLPT_3,OikgR+nKY0,"เล็กน้อย บางส่วน บ้าง, นิดหน่อย, ส่วนหนึ่ง, พอสมควร",やや暑いです。,ค่อนข้างร้อน
唯一,ゆいいつ,"only, sole, unique",JLPT JLPT_2 JLPT_3,mNuH=kxM-E,"หนึ่งเดียว หนึ่งเดียว ไม่เหมือนใคร, เพียงหนึ่ง, เฉพาะหนึ่ง, มีเพียง",これは唯一のチャンスです。,นี่เป็นโอกาสเดียว
勇気,ゆうき,"courage, bravery, boldness",JLPT JLPT_2 JLPT_3,z0tdm#]12w,"ความกล้าหาญ ความองอาจ ความเด็ดเดี่ยว, ความหาญกล้า, ความห้าวหาญ, ความมุ่งมั่น",勇気を出して話しました。,พูดออกไปอย่างกล้าหาญ
友好,ゆうこう,friendship,JLPT JLPT_2 JLPT_3,qSk@+t:._p,"มิตรภาพ, ความเป็นเพื่อน, สัมพันธภาพ, ความผูกพัน",友好関係を深める。,กระชับความสัมพันธ์ฉันมิตร
